Sexo;Provincias;Municipios;Edad (grupos quinquenales);Periodo;Total
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 85 a 89 años  ;1 de enero de 2021;5
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 90 a 94 años  ;1 de enero de 2021;4
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;De 95 a 99 años  ;1 de enero de 2021;1
Total;28 Madrid;28063 Gargantilla del Lozoya y Pinilla de Buitrago;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28064 Gascones;De 0 a 4 años;1 de enero de 2021;4
Total;28 Madrid;28064 Gascones;De 5 a 9 años;1 de enero de 2021;7
Total;28 Madrid;28064 Gascones;De 10 a 14 años  ;1 de enero de 2021;17
Total;28 Madrid;28064 Gascones;De 15 a 19 años  ;1 de enero de 2021;8
Total;28 Madrid;28064 Gascones;De 20 a 24 años;1 de enero de 2021;9
Total;28 Madrid;28064 Gascones;De 25 a 29 años;1 de enero de 2021;14
Total;28 Madrid;28064 Gascones;De 30 a 34 años;1 de enero de 2021;13
Total;28 Madrid;28064 Gascones;De 35 a 39 años;1 de enero de 2021;11
Total;28 Madrid;28064 Gascones;De 40 a 44 años;1 de enero de 2021;12
Total;28 Madrid;28064 Gascones;De 45 a 49 años;1 de enero de 2021;14
Total;28 Madrid;28064 Gascones;De 50 a 54 años;1 de enero de 2021;18
Total;28 Madrid;28064 Gascones;De 55 a 59 años;1 de enero de 2021;17
Total;28 Madrid;28064 Gascones;De 60 a 64 años;1 de enero de 2021;12
Total;28 Madrid;28064 Gascones;De 65 a 69 años;1 de enero de 2021;14
Total;28 Madrid;28064 Gascones;De 70 a 74 años  ;1 de enero de 2021;8
Total;28 Madrid;28064 Gascones;De 75 a 79 años  ;1 de enero de 2021;9
Total;28 Madrid;28064 Gascones;De 80 a 84 años  ;1 de enero de 2021;1
Total;28 Madrid;28064 Gascones;De 85 a 89 años  ;1 de enero de 2021;2
Total;28 Madrid;28064 Gascones;De 90 a 94 años  ;1 de enero de 2021;1
Total;28 Madrid;28064 Gascones;De 95 a 99 años  ;1 de enero de 2021;0
Total;28 Madrid;28064 Gascones;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28069 Hiruela, La;De 0 a 4 años;1 de enero de 2021;3
Total;28 Madrid;28069 Hiruela, La;De 5 a 9 años;1 de enero de 2021;2
Total;28 Madrid;28069 Hiruela, La;De 10 a 14 años  ;1 de enero de 2021;0
Total;28 Madrid;28069 Hiruela, La;De 15 a 19 años  ;1 de enero de 2021;1
Total;28 Madrid;28069 Hiruela, La;De 20 a 24 años;1 de enero de 2021;2
Total;28 Madrid;28069 Hiruela, La;De 25 a 29 años;1 de enero de 2021;1
Total;28 Madrid;28069 Hiruela, La;De 30 a 34 años;1 de enero de 2021;1
Total;28 Madrid;28069 Hiruela, La;De 35 a 39 años;1 de enero de 2021;7
Total;28 Madrid;28069 Hiruela, La;De 40 a 44 años;1 de enero de 2021;5
Total;28 Madrid;28069 Hiruela, La;De 45 a 49 años;1 de enero de 2021;6
Total;28 Madrid;28069 Hiruela, La;De 50 a 54 años;1 de enero de 2021;7
Total;28 Madrid;28069 Hiruela, La;De 55 a 59 años;1 de enero de 2021;9
Total;28 Madrid;28069 Hiruela, La;De 60 a 64 años;1 de enero de 2021;9
Total;28 Madrid;28069 Hiruela, La;De 65 a 69 años;1 de enero de 2021;7
Total;28 Madrid;28069 Hiruela, La;De 70 a 74 años  ;1 de enero de 2021;4
Total;28 Madrid;28069 Hiruela, La;De 75 a 79 años  ;1 de enero de 2021;4
Total;28 Madrid;28069 Hiruela, La;De 80 a 84 años  ;1 de enero de 2021;2
Total;28 Madrid;28069 Hiruela, La;De 85 a 89 años  ;1 de enero de 2021;2
Total;28 Madrid;28069 Hiruela, La;De 90 a 94 años  ;1 de enero de 2021;0
Total;28 Madrid;28069 Hiruela, La;De 95 a 99 años  ;1 de enero de 2021;0
Total;28 Madrid;28069 Hiruela, La;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 0 a 4 años;1 de enero de 2021;3
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 5 a 9 años;1 de enero de 2021;10
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 10 a 14 años  ;1 de enero de 2021;13
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 15 a 19 años  ;1 de enero de 2021;4
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 20 a 24 años;1 de enero de 2021;3
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 25 a 29 años;1 de enero de 2021;9
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 30 a 34 años;1 de enero de 2021;8
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 35 a 39 años;1 de enero de 2021;13
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 40 a 44 años;1 de enero de 2021;21
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 45 a 49 años;1 de enero de 2021;16
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 50 a 54 años;1 de enero de 2021;10
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 55 a 59 años;1 de enero de 2021;11
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 60 a 64 años;1 de enero de 2021;12
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 65 a 69 años;1 de enero de 2021;14
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 70 a 74 años  ;1 de enero de 2021;11
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 75 a 79 años  ;1 de enero de 2021;7
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 80 a 84 años  ;1 de enero de 2021;2
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 85 a 89 años  ;1 de enero de 2021;1
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 90 a 94 años  ;1 de enero de 2021;1
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;De 95 a 99 años  ;1 de enero de 2021;0
Total;28 Madrid;28070 Horcajo de la Sierra-Aoslos;100 y más años;1 de enero de 2021;1
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 0 a 4 años;1 de enero de 2021;4
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 5 a 9 años;1 de enero de 2021;3
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 10 a 14 años  ;1 de enero de 2021;6
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 15 a 19 años  ;1 de enero de 2021;2
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 20 a 24 años;1 de enero de 2021;8
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 25 a 29 años;1 de enero de 2021;4
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 30 a 34 años;1 de enero de 2021;6
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 35 a 39 años;1 de enero de 2021;5
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 40 a 44 años;1 de enero de 2021;4
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 45 a 49 años;1 de enero de 2021;11
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 50 a 54 años;1 de enero de 2021;12
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 55 a 59 años;1 de enero de 2021;7
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 60 a 64 años;1 de enero de 2021;9
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 65 a 69 años;1 de enero de 2021;6
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 70 a 74 años  ;1 de enero de 2021;5
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 75 a 79 años  ;1 de enero de 2021;9
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 80 a 84 años  ;1 de enero de 2021;2
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 85 a 89 años  ;1 de enero de 2021;1
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 90 a 94 años  ;1 de enero de 2021;2
Total;28 Madrid;28071 Horcajuelo de la Sierra;De 95 a 99 años  ;1 de enero de 2021;0
Total;28 Madrid;28071 Horcajuelo de la Sierra;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28076 Lozoya;De 0 a 4 años;1 de enero de 2021;16
Total;28 Madrid;28076 Lozoya;De 5 a 9 años;1 de enero de 2021;11
Total;28 Madrid;28076 Lozoya;De 10 a 14 años  ;1 de enero de 2021;17
Total;28 Madrid;28076 Lozoya;De 15 a 19 años  ;1 de enero de 2021;23
Total;28 Madrid;28076 Lozoya;De 20 a 24 años;1 de enero de 2021;20
Total;28 Madrid;28076 Lozoya;De 25 a 29 años;1 de enero de 2021;17
Total;28 Madrid;28076 Lozoya;De 30 a 34 años;1 de enero de 2021;37
Total;28 Madrid;28076 Lozoya;De 35 a 39 años;1 de enero de 2021;37
Total;28 Madrid;28076 Lozoya;De 40 a 44 años;1 de enero de 2021;38
Total;28 Madrid;28076 Lozoya;De 45 a 49 años;1 de enero de 2021;59
Total;28 Madrid;28076 Lozoya;De 50 a 54 años;1 de enero de 2021;59
Total;28 Madrid;28076 Lozoya;De 55 a 59 años;1 de enero de 2021;52
Total;28 Madrid;28076 Lozoya;De 60 a 64 años;1 de enero de 2021;49
Total;28 Madrid;28076 Lozoya;De 65 a 69 años;1 de enero de 2021;43
Total;28 Madrid;28076 Lozoya;De 70 a 74 años  ;1 de enero de 2021;43
Total;28 Madrid;28076 Lozoya;De 75 a 79 años  ;1 de enero de 2021;28
Total;28 Madrid;28076 Lozoya;De 80 a 84 años  ;1 de enero de 2021;21
Total;28 Madrid;28076 Lozoya;De 85 a 89 años  ;1 de enero de 2021;11
Total;28 Madrid;28076 Lozoya;De 90 a 94 años  ;1 de enero de 2021;7
Total;28 Madrid;28076 Lozoya;De 95 a 99 años  ;1 de enero de 2021;4
Total;28 Madrid;28076 Lozoya;100 y más años;1 de enero de 2021;1
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 0 a 4 años;1 de enero de 2021;40
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 5 a 9 años;1 de enero de 2021;80
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 10 a 14 años  ;1 de enero de 2021;78
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 15 a 19 años  ;1 de enero de 2021;65
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 20 a 24 años;1 de enero de 2021;71
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 25 a 29 años;1 de enero de 2021;57
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 30 a 34 años;1 de enero de 2021;74
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 35 a 39 años;1 de enero de 2021;79
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 40 a 44 años;1 de enero de 2021;138
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 45 a 49 años;1 de enero de 2021;150
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 50 a 54 años;1 de enero de 2021;127
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 55 a 59 años;1 de enero de 2021;86
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 60 a 64 años;1 de enero de 2021;84
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 65 a 69 años;1 de enero de 2021;59
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 70 a 74 años  ;1 de enero de 2021;59
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 75 a 79 años  ;1 de enero de 2021;51
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 80 a 84 años  ;1 de enero de 2021;45
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 85 a 89 años  ;1 de enero de 2021;33
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 90 a 94 años  ;1 de enero de 2021;21
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;De 95 a 99 años  ;1 de enero de 2021;8
Total;28 Madrid;28901 Lozoyuela-Navas-Sieteiglesias;100 y más años;1 de enero de 2021;2
Total;28 Madrid;28078 Madarcos;De 0 a 4 años;1 de enero de 2021;1
Total;28 Madrid;28078 Madarcos;De 5 a 9 años;1 de enero de 2021;3
Total;28 Madrid;28078 Madarcos;De 10 a 14 años  ;1 de enero de 2021;3
Total;28 Madrid;28078 Madarcos;De 15 a 19 años  ;1 de enero de 2021;2
Total;28 Madrid;28078 Madarcos;De 20 a 24 años;1 de enero de 2021;1
Total;28 Madrid;28078 Madarcos;De 25 a 29 años;1 de enero de 2021;3
Total;28 Madrid;28078 Madarcos;De 30 a 34 años;1 de enero de 2021;4
Total;28 Madrid;28078 Madarcos;De 35 a 39 años;1 de enero de 2021;3
Total;28 Madrid;28078 Madarcos;De 40 a 44 años;1 de enero de 2021;3
Total;28 Madrid;28078 Madarcos;De 45 a 49 años;1 de enero de 2021;4
Total;28 Madrid;28078 Madarcos;De 50 a 54 años;1 de enero de 2021;10
Total;28 Madrid;28078 Madarcos;De 55 a 59 años;1 de enero de 2021;3
Total;28 Madrid;28078 Madarcos;De 60 a 64 años;1 de enero de 2021;1
Total;28 Madrid;28078 Madarcos;De 65 a 69 años;1 de enero de 2021;4
Total;28 Madrid;28078 Madarcos;De 70 a 74 años  ;1 de enero de 2021;2
Total;28 Madrid;28078 Madarcos;De 75 a 79 años  ;1 de enero de 2021;2
Total;28 Madrid;28078 Madarcos;De 80 a 84 años  ;1 de enero de 2021;5
Total;28 Madrid;28078 Madarcos;De 85 a 89 años  ;1 de enero de 2021;2
Total;28 Madrid;28078 Madarcos;De 90 a 94 años  ;1 de enero de 2021;1
Total;28 Madrid;28078 Madarcos;De 95 a 99 años  ;1 de enero de 2021;0
Total;28 Madrid;28078 Madarcos;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28088 Montejo de la Sierra;De 0 a 4 años;1 de enero de 2021;5
Total;28 Madrid;28088 Montejo de la Sierra;De 5 a 9 años;1 de enero de 2021;13
Total;28 Madrid;28088 Montejo de la Sierra;De 10 a 14 años  ;1 de enero de 2021;8
Total;28 Madrid;28088 Montejo de la Sierra;De 15 a 19 años  ;1 de enero de 2021;26
Total;28 Madrid;28088 Montejo de la Sierra;De 20 a 24 años;1 de enero de 2021;23
Total;28 Madrid;28088 Montejo de la Sierra;De 25 a 29 años;1 de enero de 2021;14
Total;28 Madrid;28088 Montejo de la Sierra;De 30 a 34 años;1 de enero de 2021;10
Total;28 Madrid;28088 Montejo de la Sierra;De 35 a 39 años;1 de enero de 2021;11
Total;28 Madrid;28088 Montejo de la Sierra;De 40 a 44 años;1 de enero de 2021;20
Total;28 Madrid;28088 Montejo de la Sierra;De 45 a 49 años;1 de enero de 2021;34
Total;28 Madrid;28088 Montejo de la Sierra;De 50 a 54 años;1 de enero de 2021;38
Total;28 Madrid;28088 Montejo de la Sierra;De 55 a 59 años;1 de enero de 2021;40
Total;28 Madrid;28088 Montejo de la Sierra;De 60 a 64 años;1 de enero de 2021;26
Total;28 Madrid;28088 Montejo de la Sierra;De 65 a 69 años;1 de enero de 2021;12
Total;28 Madrid;28088 Montejo de la Sierra;De 70 a 74 años  ;1 de enero de 2021;14
Total;28 Madrid;28088 Montejo de la Sierra;De 75 a 79 años  ;1 de enero de 2021;17
Total;28 Madrid;28088 Montejo de la Sierra;De 80 a 84 años  ;1 de enero de 2021;26
Total;28 Madrid;28088 Montejo de la Sierra;De 85 a 89 años  ;1 de enero de 2021;10
Total;28 Madrid;28088 Montejo de la Sierra;De 90 a 94 años  ;1 de enero de 2021;12
Total;28 Madrid;28088 Montejo de la Sierra;De 95 a 99 años  ;1 de enero de 2021;4
Total;28 Madrid;28088 Montejo de la Sierra;100 y más años;1 de enero de 2021;2
Total;28 Madrid;28094 Navalafuente;De 0 a 4 años;1 de enero de 2021;86
Total;28 Madrid;28094 Navalafuente;De 5 a 9 años;1 de enero de 2021;95
Total;28 Madrid;28094 Navalafuente;De 10 a 14 años  ;1 de enero de 2021;87
Total;28 Madrid;28094 Navalafuente;De 15 a 19 años  ;1 de enero de 2021;83
Total;28 Madrid;28094 Navalafuente;De 20 a 24 años;1 de enero de 2021;70
Total;28 Madrid;28094 Navalafuente;De 25 a 29 años;1 de enero de 2021;80
Total;28 Madrid;28094 Navalafuente;De 30 a 34 años;1 de enero de 2021;84
Total;28 Madrid;28094 Navalafuente;De 35 a 39 años;1 de enero de 2021;139
Total;28 Madrid;28094 Navalafuente;De 40 a 44 años;1 de enero de 2021;149
Total;28 Madrid;28094 Navalafuente;De 45 a 49 años;1 de enero de 2021;145
Total;28 Madrid;28094 Navalafuente;De 50 a 54 años;1 de enero de 2021;145
Total;28 Madrid;28094 Navalafuente;De 55 a 59 años;1 de enero de 2021;138
Total;28 Madrid;28094 Navalafuente;De 60 a 64 años;1 de enero de 2021;81
Total;28 Madrid;28094 Navalafuente;De 65 a 69 años;1 de enero de 2021;72
Total;28 Madrid;28094 Navalafuente;De 70 a 74 años  ;1 de enero de 2021;42
Total;28 Madrid;28094 Navalafuente;De 75 a 79 años  ;1 de enero de 2021;32
Total;28 Madrid;28094 Navalafuente;De 80 a 84 años  ;1 de enero de 2021;19
Total;28 Madrid;28094 Navalafuente;De 85 a 89 años  ;1 de enero de 2021;17
Total;28 Madrid;28094 Navalafuente;De 90 a 94 años  ;1 de enero de 2021;8
Total;28 Madrid;28094 Navalafuente;De 95 a 99 años  ;1 de enero de 2021;1
Total;28 Madrid;28094 Navalafuente;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28097 Navarredonda y San Mamés;De 0 a 4 años;1 de enero de 2021;1
Total;28 Madrid;28097 Navarredonda y San Mamés;De 5 a 9 años;1 de enero de 2021;2
Total;28 Madrid;28097 Navarredonda y San Mamés;De 10 a 14 años  ;1 de enero de 2021;2
Total;28 Madrid;28097 Navarredonda y San Mamés;De 15 a 19 años  ;1 de enero de 2021;4
Total;28 Madrid;28097 Navarredonda y San Mamés;De 20 a 24 años;1 de enero de 2021;5
Total;28 Madrid;28097 Navarredonda y San Mamés;De 25 a 29 años;1 de enero de 2021;7
Total;28 Madrid;28097 Navarredonda y San Mamés;De 30 a 34 años;1 de enero de 2021;11
Total;28 Madrid;28097 Navarredonda y San Mamés;De 35 a 39 años;1 de enero de 2021;6
Total;28 Madrid;28097 Navarredonda y San Mamés;De 40 a 44 años;1 de enero de 2021;7
Total;28 Madrid;28097 Navarredonda y San Mamés;De 45 a 49 años;1 de enero de 2021;4
Total;28 Madrid;28097 Navarredonda y San Mamés;De 50 a 54 años;1 de enero de 2021;11
Total;28 Madrid;28097 Navarredonda y San Mamés;De 55 a 59 años;1 de enero de 2021;23
Total;28 Madrid;28097 Navarredonda y San Mamés;De 60 a 64 años;1 de enero de 2021;17
Total;28 Madrid;28097 Navarredonda y San Mamés;De 65 a 69 años;1 de enero de 2021;14
Total;28 Madrid;28097 Navarredonda y San Mamés;De 70 a 74 años  ;1 de enero de 2021;8
Total;28 Madrid;28097 Navarredonda y San Mamés;De 75 a 79 años  ;1 de enero de 2021;5
Total;28 Madrid;28097 Navarredonda y San Mamés;De 80 a 84 años  ;1 de enero de 2021;4
Total;28 Madrid;28097 Navarredonda y San Mamés;De 85 a 89 años  ;1 de enero de 2021;4
Total;28 Madrid;28097 Navarredonda y San Mamés;De 90 a 94 años  ;1 de enero de 2021;4
Total;28 Madrid;28097 Navarredonda y San Mamés;De 95 a 99 años  ;1 de enero de 2021;1
Total;28 Madrid;28097 Navarredonda y San Mamés;100 y más años;1 de enero de 2021;1
Total;28 Madrid;28107 Patones;De 0 a 4 años;1 de enero de 2021;26
Total;28 Madrid;28107 Patones;De 5 a 9 años;1 de enero de 2021;19
Total;28 Madrid;28107 Patones;De 10 a 14 años  ;1 de enero de 2021;23
Total;28 Madrid;28107 Patones;De 15 a 19 años  ;1 de enero de 2021;19
Total;28 Madrid;28107 Patones;De 20 a 24 años;1 de enero de 2021;14
Total;28 Madrid;28107 Patones;De 25 a 29 años;1 de enero de 2021;20
Total;28 Madrid;28107 Patones;De 30 a 34 años;1 de enero de 2021;29
Total;28 Madrid;28107 Patones;De 35 a 39 años;1 de enero de 2021;34
Total;28 Madrid;28107 Patones;De 40 a 44 años;1 de enero de 2021;42
Total;28 Madrid;28107 Patones;De 45 a 49 años;1 de enero de 2021;44
Total;28 Madrid;28107 Patones;De 50 a 54 años;1 de enero de 2021;34
Total;28 Madrid;28107 Patones;De 55 a 59 años;1 de enero de 2021;33
Total;28 Madrid;28107 Patones;De 60 a 64 años;1 de enero de 2021;37
Total;28 Madrid;28107 Patones;De 65 a 69 años;1 de enero de 2021;41
Total;28 Madrid;28107 Patones;De 70 a 74 años  ;1 de enero de 2021;32
Total;28 Madrid;28107 Patones;De 75 a 79 años  ;1 de enero de 2021;19
Total;28 Madrid;28107 Patones;De 80 a 84 años  ;1 de enero de 2021;17
Total;28 Madrid;28107 Patones;De 85 a 89 años  ;1 de enero de 2021;19
Total;28 Madrid;28107 Patones;De 90 a 94 años  ;1 de enero de 2021;18
Total;28 Madrid;28107 Patones;De 95 a 99 años  ;1 de enero de 2021;4
Total;28 Madrid;28107 Patones;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28112 Pinilla del Valle;De 0 a 4 años;1 de enero de 2021;4
Total;28 Madrid;28112 Pinilla del Valle;De 5 a 9 años;1 de enero de 2021;7
Total;28 Madrid;28112 Pinilla del Valle;De 10 a 14 años  ;1 de enero de 2021;4
Total;28 Madrid;28112 Pinilla del Valle;De 15 a 19 años  ;1 de enero de 2021;7
Total;28 Madrid;28112 Pinilla del Valle;De 20 a 24 años;1 de enero de 2021;10
Total;28 Madrid;28112 Pinilla del Valle;De 25 a 29 años;1 de enero de 2021;11
Total;28 Madrid;28112 Pinilla del Valle;De 30 a 34 años;1 de enero de 2021;5
Total;28 Madrid;28112 Pinilla del Valle;De 35 a 39 años;1 de enero de 2021;14
Total;28 Madrid;28112 Pinilla del Valle;De 40 a 44 años;1 de enero de 2021;11
Total;28 Madrid;28112 Pinilla del Valle;De 45 a 49 años;1 de enero de 2021;16
Total;28 Madrid;28112 Pinilla del Valle;De 50 a 54 años;1 de enero de 2021;14
Total;28 Madrid;28112 Pinilla del Valle;De 55 a 59 años;1 de enero de 2021;18
Total;28 Madrid;28112 Pinilla del Valle;De 60 a 64 años;1 de enero de 2021;21
Total;28 Madrid;28112 Pinilla del Valle;De 65 a 69 años;1 de enero de 2021;10
Total;28 Madrid;28112 Pinilla del Valle;De 70 a 74 años  ;1 de enero de 2021;17
Total;28 Madrid;28112 Pinilla del Valle;De 75 a 79 años  ;1 de enero de 2021;10
Total;28 Madrid;28112 Pinilla del Valle;De 80 a 84 años  ;1 de enero de 2021;6
Total;28 Madrid;28112 Pinilla del Valle;De 85 a 89 años  ;1 de enero de 2021;7
Total;28 Madrid;28112 Pinilla del Valle;De 90 a 94 años  ;1 de enero de 2021;3
Total;28 Madrid;28112 Pinilla del Valle;De 95 a 99 años  ;1 de enero de 2021;1
Total;28 Madrid;28112 Pinilla del Valle;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28114 Piñuécar-Gandullas;De 0 a 4 años;1 de enero de 2021;3
Total;28 Madrid;28114 Piñuécar-Gandullas;De 5 a 9 años;1 de enero de 2021;8
Total;28 Madrid;28114 Piñuécar-Gandullas;De 10 a 14 años  ;1 de enero de 2021;10
Total;28 Madrid;28114 Piñuécar-Gandullas;De 15 a 19 años  ;1 de enero de 2021;4
Total;28 Madrid;28114 Piñuécar-Gandullas;De 20 a 24 años;1 de enero de 2021;8
Total;28 Madrid;28114 Piñuécar-Gandullas;De 25 a 29 años;1 de enero de 2021;13
Total;28 Madrid;28114 Piñuécar-Gandullas;De 30 a 34 años;1 de enero de 2021;7
Total;28 Madrid;28114 Piñuécar-Gandullas;De 35 a 39 años;1 de enero de 2021;13
Total;28 Madrid;28114 Piñuécar-Gandullas;De 40 a 44 años;1 de enero de 2021;15
Total;28 Madrid;28114 Piñuécar-Gandullas;De 45 a 49 años;1 de enero de 2021;13
Total;28 Madrid;28114 Piñuécar-Gandullas;De 50 a 54 años;1 de enero de 2021;21
Total;28 Madrid;28114 Piñuécar-Gandullas;De 55 a 59 años;1 de enero de 2021;24
Total;28 Madrid;28114 Piñuécar-Gandullas;De 60 a 64 años;1 de enero de 2021;6
Total;28 Madrid;28114 Piñuécar-Gandullas;De 65 a 69 años;1 de enero de 2021;8
Total;28 Madrid;28114 Piñuécar-Gandullas;De 70 a 74 años  ;1 de enero de 2021;6
Total;28 Madrid;28114 Piñuécar-Gandullas;De 75 a 79 años  ;1 de enero de 2021;6
Total;28 Madrid;28114 Piñuécar-Gandullas;De 80 a 84 años  ;1 de enero de 2021;5
Total;28 Madrid;28114 Piñuécar-Gandullas;De 85 a 89 años  ;1 de enero de 2021;12
Total;28 Madrid;28114 Piñuécar-Gandullas;De 90 a 94 años  ;1 de enero de 2021;3
Total;28 Madrid;28114 Piñuécar-Gandullas;De 95 a 99 años  ;1 de enero de 2021;0
Total;28 Madrid;28114 Piñuécar-Gandullas;100 y más años;1 de enero de 2021;0
Total;28 Madrid;28117 Prádena del Rincón;De 0 a 4 años;1 de enero de 2021;3
Total;28 Madrid;28117 Prádena del Rincón;De 5 a 9 años;1 de enero de 2021;7
Total;28 Madrid;28117 Prádena del Rincón;De 10 a 14 años  ;1 de enero de 2021;14
Total;28 Madrid;28117 Prádena del Rincón;De 15 a 19 años  ;1 de enero de 2021;6
Total;28 Madrid;28117 Prádena del Rincón;De 20 a 24 años;1 de enero de 2021;5
Total;28 Madrid;28117 Prádena del Rincón;De 25 a 29 años;1 de enero de 2021;4
Total;28 Madrid;28117 Prádena del Rincón;De 30 a 34 años;1 de enero de 2021;8
Total;28 Madrid;28117 Prádena del Rincón;De 35 a 39 años;1 de enero de 2021;5
Total;28 Madrid;28117 Prádena del Rincón;De 40 a 44 años;1 de enero de 2021;18
Total;28 Madrid;28117 Prádena del Rincón;De 45 a 49 años;1 de enero de 2021;20
Total;28 Madrid;28117 Prádena del Rincón;De 50 a 54 años;1 de enero de 2021;10
Total;28 Madrid;28117 Prádena del Rincón;De 55 a 59 años;1 de enero de 2021;8
Total;28 Madrid;28117 Prádena del Rincón;De 60 a 64 años;1 de enero de 2021;9
